Station Name,Month,Period,No. of Years,Mean Temperature in degree C - Maximum,Mean Temperature  in degree C - Minimum,Mean Rainfall in mm,Soil Type
Abu,January,1901-2000,100,19.3,8,5.3,6
Abu,February,1901-2000,100,21,10,4.4,6
Abu,March,1901-2000,100,25.3,14.5,6.5,6
Abu,April,1901-2000,100,29.4,18.7,2.6,6
Abu,May,1901-2000,100,31.5,21,16.4,6
Abu,June,1901-2000,100,29.1,19.8,101.6,6
Abu,July,1901-2000,100,24.5,18.7,573.2,6
Abu,August,1901-2000,100,22.7,17.8,600.3,6
Abu,September,1901-2000,100,24.5,17.6,214.2,6
Abu,October,1901-2000,100,26.7,16.2,19.4,6
Abu,November,1901-2000,100,23.8,12.1,7.9,6
Abu,December,1901-2000,100,20.9,9,2.4,6
Agartala,January,1953-2000,43,25.6,10,27.5,10
Agartala,February,1953-2000,43,28.3,13.2,21.5,10
Agartala,March,1953-2000,43,32.5,18.7,60.7,10
Agartala,April,1953-2000,43,33.7,22.2,199.7,10
Agartala,May,1953-2000,43,32.8,23.5,329.9,10
Agartala,June,1953-2000,43,31.8,24.6,393.4,10
Agartala,July,1953-2000,43,31.4,24.8,363.1,10
Agartala,August,1953-2000,43,31.7,24.7,298.7,10
Agartala,September,1953-2000,43,31.7,24.3,232.4,10
Agartala,October,1953-2000,43,31.1,22,162.5,10
Agartala,November,1953-2000,43,29.2,16.6,46,10
Agartala,December,1953-2000,43,26.4,11.3,10.6,10
Agra,January,1901-2000,100,22.3,7.7,13.2,10
Agra,February,1901-2000,100,25.5,10.3,17.6,10
Agra,March,1901-2000,100,31.9,15.5,9.3,10
Agra,April,1901-2000,100,37.9,21.5,6.3,10
Agra,May,1901-2000,100,41.7,26.5,11.3,10
Agra,June,1901-2000,100,40.7,28.9,55.7,10
Agra,July,1901-2000,100,35.3,26.8,203.3,10
Agra,August,1901-2000,100,33.2,25.7,243.2,10
Agra,September,1901-2000,100,34,24.3,129.7,10
Agra,October,1901-2000,100,34,19.1,24.8,10
Agra,November,1901-2000,100,29.2,12.5,4.3,10
Agra,December,1901-2000,100,23.9,8.2,6.1,10
Ahmedabad,January,1901-2000,100,28.7,13.1,2.1,6
Ahmedabad,February,1901-2000,100,31,14.8,1.2,6
Ahmedabad,March,1901-2000,100,35.9,19.4,1.1,6
Ahmedabad,April,1901-2000,100,39.5,23.5,1.9,6
Ahmedabad,May,1901-2000,100,41.4,26.3,9.1,6
Ahmedabad,June,1901-2000,100,38.5,27.2,97.4,6
Ahmedabad,July,1901-2000,100,33.5,25.7,309.8,6
Ahmedabad,August,1901-2000,100,32,24.9,213.8,6
Ahmedabad,September,1901-2000,100,33.5,24.4,126.6,6
Ahmedabad,October,1901-2000,100,35.8,21.9,13.5,6
Ahmedabad,November,1901-2000,100,33.2,17.5,6.1,6
Ahmedabad,December,1901-2000,100,29.9,14.1,1.7,6
Aizwal,January,1937-1992,34,20.4,11.4,13.4,8
Aizwal,February,1937-1992,34,21.7,12.8,23.4,8
Aizwal,March,1937-1992,34,25.2,15.6,73.4,8
Aizwal,April,1937-1992,34,26.8,17.5,167.7,8
Aizwal,May,1937-1992,34,26.3,18.1,289,8
Aizwal,June,1937-1992,34,25.5,18.9,406.1,8
Aizwal,July,1937-1992,34,25.3,19.1,320.4,8
Aizwal,August,1937-1992,34,25.5,19.1,320.6,8
Aizwal,September,1937-1992,34,25.7,19.2,305.2,8
Aizwal,October,1937-1992,34,24.7,18,183.7,8
Aizwal,November,1937-1992,34,23,15.1,43.2,8
Aizwal,December,1937-1992,34,21,12.2,15.3,8
Ajmer,January,1901-2000,100,22.9,7.6,7.3,2
Ajmer,February,1901-2000,100,25.7,10.3,6,2
