Station Name,Month,Period,No. of Years,Mean Temperature in degree C - Maximum,Mean Temperature  in degree C - Minimum,Mean Rainfall in mm,Soil Type,Wheat,Maize,Rice,Pulse,Sugarcane,Jute
Abu,January,1901-2000,100,19.3,8,5.3,6,0,0,0,0,0,0
Abu,February,1901-2000,100,21,10,4.4,6,0,0,0,0,0,0
Abu,March,1901-2000,100,25.3,14.5,6.5,6,0,0,0,0,0,0
Abu,April,1901-2000,100,29.4,18.7,2.6,6,0,0,0,0,0,0
Abu,May,1901-2000,100,31.5,21,16.4,6,0,0,0,0,0,0
Abu,June,1901-2000,100,29.1,19.8,101.6,6,0,0,0,0,0,0
Abu,July,1901-2000,100,24.5,18.7,573.2,6,0,0,0,0,0,0
Abu,August,1901-2000,100,22.7,17.8,600.3,6,0,0,0,0,0,0
Abu,September,1901-2000,100,24.5,17.6,214.2,6,0,0,0,0,0,0
Abu,October,1901-2000,100,26.7,16.2,19.4,6,0,0,0,0,0,0
Abu,November,1901-2000,100,23.8,12.1,7.9,6,0,0,0,0,0,0
Abu,December,1901-2000,100,20.9,9,2.4,6,0,0,0,0,0,0
Agartala,January,1953-2000,43,25.6,10,27.5,10,0,0,0,0,0,0
Agartala,February,1953-2000,43,28.3,13.2,21.5,10,0,0,0,0,0,0
Agartala,March,1953-2000,43,32.5,18.7,60.7,10,0,1,0,0,0,0
Agartala,April,1953-2000,43,33.7,22.2,199.7,10,0,0,1,0,0,1
Agartala,May,1953-2000,43,32.8,23.5,329.9,10,0,0,0,0,0,1
Agartala,June,1953-2000,43,31.8,24.6,393.4,10,0,0,0,0,0,1
Agartala,July,1953-2000,43,31.4,24.8,363.1,10,0,0,0,0,0,1
Agartala,August,1953-2000,43,31.7,24.7,298.7,10,0,0,0,0,0,1
Agartala,September,1953-2000,43,31.7,24.3,232.4,10,0,0,0,0,0,1
Agartala,October,1953-2000,43,31.1,22,162.5,10,0,0,1,0,1,1
Agartala,November,1953-2000,43,29.2,16.6,46,10,0,0,0,0,0,0
Agartala,December,1953-2000,43,26.4,11.3,10.6,10,0,0,0,0,0,0
Agra,January,1901-2000,100,22.3,7.7,13.2,10,0,0,0,0,0,0
Agra,February,1901-2000,100,25.5,10.3,17.6,10,0,0,0,0,0,0
Agra,March,1901-2000,100,31.9,15.5,9.3,10,0,0,0,0,0,0
Agra,April,1901-2000,100,37.9,21.5,6.3,10,0,0,0,0,0,0
Agra,May,1901-2000,100,41.7,26.5,11.3,10,0,0,0,0,0,0
Agra,June,1901-2000,100,40.7,28.9,55.7,10,0,0,0,0,0,0
Agra,July,1901-2000,100,35.3,26.8,203.3,10,0,0,0,0,0,1
Agra,August,1901-2000,100,33.2,25.7,243.2,10,0,0,0,0,0,1
Agra,September,1901-2000,100,34,24.3,129.7,10,0,0,1,0,1,0
Agra,October,1901-2000,100,34,19.1,24.8,10,0,0,0,0,0,0
Agra,November,1901-2000,100,29.2,12.5,4.3,10,0,0,0,0,0,0
Agra,December,1901-2000,100,23.9,8.2,6.1,10,0,0,0,0,0,0
Ahmedabad,January,1901-2000,100,28.7,13.1,2.1,6,0,0,0,0,0,0
Ahmedabad,February,1901-2000,100,31,14.8,1.2,6,0,0,0,0,0,0
Ahmedabad,March,1901-2000,100,35.9,19.4,1.1,6,0,0,0,0,0,0
Ahmedabad,April,1901-2000,100,39.5,23.5,1.9,6,0,0,0,0,0,0
Ahmedabad,May,1901-2000,100,41.4,26.3,9.1,6,0,0,0,0,0,0
Ahmedabad,June,1901-2000,100,38.5,27.2,97.4,6,0,0,0,0,0,0
Ahmedabad,July,1901-2000,100,33.5,25.7,309.8,6,0,0,0,0,0,0
Ahmedabad,August,1901-2000,100,32,24.9,213.8,6,0,0,0,0,0,0
Ahmedabad,September,1901-2000,100,33.5,24.4,126.6,6,0,0,0,0,0,0
Ahmedabad,October,1901-2000,100,35.8,21.9,13.5,6,0,0,0,0,0,0
Ahmedabad,November,1901-2000,100,33.2,17.5,6.1,6,0,0,0,0,0,0
Ahmedabad,December,1901-2000,100,29.9,14.1,1.7,6,0,0,0,0,0,0
Aizwal,January,1937-1992,34,20.4,11.4,13.4,8,0,0,0,0,0,0
Aizwal,February,1937-1992,34,21.7,12.8,23.4,8,0,0,0,0,0,0
Aizwal,March,1937-1992,34,25.2,15.6,73.4,8,0,0,0,1,0,0
Aizwal,April,1937-1992,34,26.8,17.5,167.7,8,0,0,1,0,0,1
Aizwal,May,1937-1992,34,26.3,18.1,289,8,0,0,0,0,0,1
Aizwal,June,1937-1992,34,25.5,18.9,406.1,8,0,0,0,0,0,1
Aizwal,July,1937-1992,34,25.3,19.1,320.4,8,0,0,0,0,0,1
Aizwal,August,1937-1992,34,25.5,19.1,320.6,8,0,0,0,0,0,1
Aizwal,September,1937-1992,34,25.7,19.2,305.2,8,0,0,0,0,0,1
Aizwal,October,1937-1992,34,24.7,18,183.7,8,0,0,1,0,0,1
Aizwal,November,1937-1992,34,23,15.1,43.2,8,0,0,0,0,0,0
Aizwal,December,1937-1992,34,21,12.2,15.3,8,0,0,0,0,0,0
Ajmer,January,1901-2000,100,22.9,7.6,7.3,2,0,0,0,0,0,0
Ajmer,February,1901-2000,100,25.7,10.3,6,2,0,0,0,0,0,0
Ajmer,March,1901-2000,100,31.3,16,5,2,0,0,0,0,0,0
Ajmer,April,1901-2000,100,36.5,22.2,4,2,0,0,0,0,0,0
Ajmer,May,1901-2000,100,39.7,26.8,15.7,2,0,0,0,0,0,0
Ajmer,June,1901-2000,100,38.4,27.5,58.1,2,0,0,0,0,0,0
Ajmer,July,1901-2000,100,33.6,25.6,181.5,2,0,0,0,0,0,0
Ajmer,August,1901-2000,100,31.3,24.4,157.5,2,0,0,0,0,0,0
Ajmer,September,1901-2000,100,32.6,23.7,73,2,0,0,0,0,0,0
Ajmer,October,1901-2000,100,33.5,18.8,13.1,2,0,0,0,0,0,0
Ajmer,November,1901-2000,100,29.2,12.3,4,2,0,0,0,0,0,0
Ajmer,December,1901-2000,100,24.7,8.4,3.8,2,0,0,0,0,0,0
Akola,January,1961-2000,40,29.9,13.1,10.4,7,0,0,0,0,0,0
Akola,February,1961-2000,40,32.8,15.4,8.1,7,0,0,0,0,0,0
Akola,March,1961-2000,40,37.3,19.7,10,7,0,0,0,0,0,0
Akola,April,1961-2000,40,40.9,24.2,4.1,7,0,0,0,0,0,0
Akola,May,1961-2000,40,42.5,27.3,9.8,7,0,0,0,0,0,0
Akola,June,1961-2000,40,37.6,25.5,144.9,7,0,0,1,0,1,0
Akola,July,1961-2000,40,32.4,23.5,217.2,7,0,0,0,0,0,1
